xx,TRADE_DATE,SECURITY_CODE,SECURITY_ABBR,CALL_VOLUME,PUT_VOLUME,TOTAL_VOLUME,LEAVES_CALL_QTY,LEAVES_PUT_QTY,LEAVES_QTY,CJ_PC,CCL_PC
2.02306021599e+13,20230602,159915,创业板ETF,380353,313242,693595,704567,426800,1131367,82.36,60.58
2.02306021599e+13,20230602,159919,沪深300ETF,93564,82388,175952,130841,113212,244053,88.06,86.53
2.02306021599e+13,20230602,159922,中证500ETF,47116,47923,95039,91176,93885,185061,101.71,102.97
2.02306020003e+13,20230602,300,IO,56034,41148,97182,105435,76220,181655,73.43,72.29
2.02306020009e+13,20230602,852,MO,30877,25152,56029,50750,44254,95004,81.46,87.2
2.0230602e+13,20230602,16,HO,33077,25071,58148,56836,25747,82583,75.8,45.3
2.02306051599e+13,20230605,159901,深证100ETF,27726,24707,52433,67281,44268,111549,89.11,65.8
2.02306051599e+13,20230605,159915,创业板ETF,325662,276148,601810,767617,433187,1200804,84.8,56.43
2.02306051599e+13,20230605,159919,沪深300ETF,69843,54744,124587,137307,114055,251362,78.38,83.07
2.02306051599e+13,20230605,159922,中证500ETF,35764,28803,64567,93372,94367,187739,80.54,101.07
2.02306050003e+13,20230605,300,IO,33988,31251,65239,108938,77276,186214,91.95,70.94
2.02306050009e+13,20230605,852,MO,22291,19331,41622,51323,44711,96034,86.72,87.12
2.0230605e+13,20230605,16,HO,19239,15488,34727,57842,26808,84650,80.5,46.35
2.02306061599e+13,20230606,159901,深证100ETF,31198,41998,73196,67482,45252,112734,134.62,67.06
2.02306061599e+13,20230606,159915,创业板ETF,491664,404124,895788,805696,432592,1238288,82.2,53.69
2.02306061599e+13,20230606,159919,沪深300ETF,104194,101915,206109,139347,121603,260950,97.81,87.27
2.02306061599e+13,20230606,159922,中证500ETF,62595,79783,142378,92033,99127,191160,127.46,107.71
2.02306060003e+13,20230606,300,IO,69988,54292,124280,106957,78891,185848,77.57,73.76
2.02306060009e+13,20230606,852,MO,44150,43752,87902,54569,45475,100044,99.1,83.33
2.0230606e+13,20230606,16,HO,40511,29566,70077,56355,27537,83892,72.98,48.86
2.02306071599e+13,20230607,159901,深证100ETF,31544,40152,71696,71254,47223,118477,127.29,66.27
2.02306071599e+13,20230607,159915,创业板ETF,555384,511222,1066606,867698,435608,1303306,92.05,50.2
2.02306071599e+13,20230607,159919,沪深300ETF,77061,88915,165976,134178,118272,252450,115.38,88.15
2.02306071599e+13,20230607,159922,中证500ETF,52071,65880,117951,92352,101427,193779,126.52,109.83
2.02306070003e+13,20230607,300,IO,48845,52611,101456,110932,79335,190267,107.71,71.52
2.02306070009e+13,20230607,852,MO,32731,37234,69965,54822,46131,100953,113.76,84.15
2.0230607e+13,20230607,16,HO,25930,26688,52618,58332,28296,86628,102.92,48.51
2.02306080003e+13,20230608,300,IO,60956,55294,116250,110351,80909,191260,90.71,73.32
2.02306080009e+13,20230608,852,MO,43071,55320,98391,58314,46454,104768,128.44,79.66
2.0230608e+13,20230608,16,HO,33578,25230,58808,58670,29758,88428,75.14,50.72
2.02306091599e+13,20230609,159901,深证100ETF,31359,33815,65174,76212,48376,124588,107.83,63.48
2.02306091599e+13,20230609,159915,创业板ETF,435785,373554,809339,917248,464442,1381690,85.72,50.63
2.02306091599e+13,20230609,159919,沪深300ETF,72256,71744,144000,135791,125462,261253,99.29,92.39
2.02306091599e+13,20230609,159922,中证500ETF,48493,56089,104582,92713,103804,196517,115.66,111.96
2.02306090003e+13,20230609,300,IO,46420,37741,84161,111463,82563,194026,81.3,74.07
2.02306090009e+13,20230609,852,MO,38837,37482,76319,56110,46601,102711,96.51,83.05
2.0230609e+13,20230609,16,HO,23488,17977,41465,59309,30883,90192,76.54,52.07
2.02306121599e+13,20230612,159901,深证100ETF,45267,35631,80898,77505,50569,128074,78.71,65.25
2.02306121599e+13,20230612,159915,创业板ETF,426226,337992,764218,903049,469495,1372544,79.3,51.99
2.02306121599e+13,20230612,159919,沪深300ETF,90540,90495,181035,132168,129103,261271,99.95,97.68
2.02306121599e+13,20230612,159922,中证500ETF,55449,70340,125789,90957,104871,195828,126.86,115.3
2.02306120003e+13,20230612,300,IO,63179,50524,113703,110559,83667,194226,79.97,75.68
2.02306120009e+13,20230612,852,MO,32011,33687,65698,54106,48124,102230,105.24,88.94
2.0230612e+13,20230612,16,HO,29254,22081,51335,59858,32280,92138,75.48,53.93
2.02306131599e+13,20230613,159901,深证100ETF,40686,28637,69323,76900,51145,128045,70.39,66.51
2.02306131599e+13,20230613,159915,创业板ETF,331095,220020,551115,859618,475639,1335257,66.45,55.33
2.02306131599e+13,20230613,159919,沪深300ETF,71327,70130,141457,132466,134136,266602,98.32,101.26
2.02306131599e+13,20230613,159922,中证500ETF,43961,58514,102475,86215,104366,190581,133.1,121.05
2.02306130003e+13,20230613,300,IO,54018,41375,95393,108474,83868,192342,76.59,77.32
